valid_precision,valid_recall,valid_f1_score,valid_avg_loss,epoch,step,train_loss,train_precision,train_recall,train_f1_score,lr,train_avg_loss
0.01998632773756981,0.9936273097991943,0.03918447718024254,0.9647148251533508,0,62,,,,,,
,,,,1,62,0.9373894333839417,0.036745235323905945,0.9150798320770264,0.07065336406230927,9.999994654208422e-05,0.9375690817832947
0.028317993506789207,0.8980148434638977,0.054904624819755554,0.954821765422821,1,125,,,,,,
,,,,2,125,0.8852380514144897,0.1497054547071457,0.9460310935974121,0.2585037648677826,9.999994654208422e-05,0.885247528553009
0.452606737613678,0.8307050466537476,0.5859569311141968,0.8142985105514526,2,188,,,,,,
,,,,3,188,0.8255777955055237,0.3693785071372986,0.9205878376960754,0.527215838432312,9.999994654208422e-05,0.825843334197998
0.620667040348053,0.8312115669250488,0.7106732130050659,0.7602047324180603,3,251,,,,,,
,,,,4,251,0.7719221711158752,0.4605465233325958,0.9039728045463562,0.6102098226547241,9.999994654208422e-05,0.772643506526947
0.6128190159797668,0.8446832299232483,0.7103082537651062,0.7012851238250732,4,314,,,,,,
,,,,5,314,0.7142348289489746,0.5680795907974243,0.8922199606895447,0.6941753029823303,9.999994654208422e-05,0.7142714262008667
0.6692541241645813,0.7173823714256287,0.6924830079078674,0.6522802710533142,5,377,,,,,,
,,,,6,377,0.6382943987846375,0.6501028537750244,0.8963733315467834,0.7536292672157288,9.999994654208422e-05,0.6377087235450745
0.7142738699913025,0.8007560968399048,0.7550466656684875,0.5600301623344421,6,440,,,,,,
,,,,7,440,0.5759084224700928,0.6752151250839233,0.8774363398551941,0.7631568312644958,9.999994654208422e-05,0.5765063166618347
0.7525426149368286,0.775786817073822,0.7639879584312439,0.5048536062240601,7,503,,,,,,
,,,,8,503,0.49136126041412354,0.7409594058990479,0.871002197265625,0.8007352948188782,9.999994654208422e-05,0.4904451370239258
0.7447871565818787,0.9027822017669678,0.8162091374397278,0.40738576650619507,8,566,,,,,,
,,,,9,566,0.42267656326293945,0.7750114798545837,0.8600591421127319,0.8153234720230103,9.999994654208422e-05,0.42370960116386414
0.8498063683509827,0.8386271595954895,0.8441797494888306,0.35007473826408386,9,629,,,,,,
,,,,10,629,0.36702144145965576,0.796971321105957,0.8505991101264954,0.8229124546051025,9.999994654208422e-05,0.36555689573287964
0.7876473665237427,0.8847442865371704,0.8333771824836731,0.3043333888053894,10,692,,,,,,
,,,,11,692,0.32100653648376465,0.823784351348877,0.8459005355834961,0.8346959352493286,9.999994654208422e-05,0.31957730650901794
0.8508079648017883,0.8290886282920837,0.8398078680038452,0.2838304340839386,11,755,,,,,,
,,,,12,755,0.2748086452484131,0.8534104824066162,0.8662747144699097,0.8597944974899292,9.999994654208422e-05,0.275573194026947
0.8630334138870239,0.8282729387283325,0.8452959656715393,0.24838848412036896,12,818,,,,,,
,,,,13,818,0.25898948311805725,0.8487390875816345,0.8522388935089111,0.8504853844642639,9.999994654208422e-05,0.2592088282108307
0.8749626874923706,0.8847293853759766,0.8798189759254456,0.20197758078575134,13,881,,,,,,
,,,,14,881,0.22239114344120026,0.8686010837554932,0.8684508204460144,0.8685259819030762,9.999994654208422e-05,0.22363266348838806
0.8943166732788086,0.8378077149391174,0.865140438079834,0.2025151252746582,14,944,,,,,,
,,,,15,944,0.21435967087745667,0.874576210975647,0.8585538268089294,0.8664909601211548,9.999994654208422e-05,0.21556887030601501
0.8977311253547668,0.8198145031929016,0.8570054769515991,0.19914397597312927,15,1007,,,,,,
,,,,16,1007,0.20523951947689056,0.8723869323730469,0.8554803729057312,0.8638509511947632,9.999994654208422e-05,0.20520807802677155
0.859786331653595,0.827904224395752,0.8435441255569458,0.19678369164466858,16,1070,,,,,,
,,,,17,1070,0.19841571152210236,0.8813528418540955,0.8528344631195068,0.8668591380119324,9.999994654208422e-05,0.19802071154117584
0.8645782470703125,0.7827703356742859,0.8216429948806763,0.20066916942596436,17,1133,,,,,,
,,,,18,1133,0.19435493648052216,0.8845012187957764,0.8472394943237305,0.8654694557189941,9.999994654208422e-05,0.19418850541114807
0.8595800995826721,0.8375023007392883,0.8483976125717163,0.18450888991355896,18,1196,,,,,,
,,,,19,1196,0.1712970733642578,0.883148193359375,0.8728476762771606,0.8779677152633667,9.999994654208422e-05,0.1724957376718521
0.8807294368743896,0.746515691280365,0.8080876469612122,0.19249330461025238,19,1259,,,,,,
,,,,20,1259,0.16162832081317902,0.8952926397323608,0.8648698329925537,0.879818320274353,9.999994654208422e-05,0.16139757633209229
0.904248058795929,0.8311073184013367,0.8661363124847412,0.15205533802509308,20,1322,,,,,,
,,,,21,1322,0.15992015600204468,0.8966208100318909,0.8651675581932068,0.880613386631012,9.999994654208422e-05,0.1592930555343628
0.9353605508804321,0.7662333846092224,0.8423919081687927,0.1814722716808319,21,1385,,,,,,
,,,,22,1385,0.14996352791786194,0.8912296295166016,0.8795831203460693,0.8853680491447449,9.999994654208422e-05,0.14984478056430817
0.9121851921081543,0.8405564427375793,0.8749071955680847,0.15507976710796356,22,1448,,,,,,
,,,,23,1448,0.15713559091091156,0.8961983323097229,0.8575525879859924,0.8764496445655823,9.999994654208422e-05,0.15761691331863403
0.834060788154602,0.8903348445892334,0.8612796068191528,0.1542539894580841,23,1511,,,,,,
,,,,24,1511,0.14478863775730133,0.8977494239807129,0.8739652037620544,0.8856976628303528,9.999994654208422e-05,0.1452932059764862
0.8437173962593079,0.8671160936355591,0.8552567362785339,0.15064473450183868,24,1574,,,,,,
,,,,25,1574,0.14661912620067596,0.896938145160675,0.8678948283195496,0.882177472114563,9.999994654208422e-05,0.14588868618011475
0.8834885954856873,0.7437967658042908,0.8076468706130981,0.17126135528087616,25,1637,,,,,,
,,,,26,1637,0.14130961894989014,0.901265561580658,0.8694962859153748,0.8850959539413452,9.999994654208422e-05,0.14093846082687378
0.9129207134246826,0.756344735622406,0.8272894024848938,0.16207857429981232,26,1700,,,,,,
,,,,27,1700,0.1402791440486908,0.8960310220718384,0.8730447888374329,0.8843885660171509,9.999994654208422e-05,0.1402127742767334
0.9156594276428223,0.8185482025146484,0.8643848299980164,0.14091509580612183,27,1763,,,,,,
,,,,28,1763,0.13653387129306793,0.896639347076416,0.8805757761001587,0.8885349631309509,9.999994654208422e-05,0.13604652881622314
0.884482204914093,0.8171700835227966,0.8494948148727417,0.1487664431333542,28,1826,,,,,,
,,,,29,1826,0.1372085064649582,0.9062464833259583,0.868922233581543,0.8871919512748718,9.999994654208422e-05,0.13705410063266754
0.901282548904419,0.8519535064697266,0.8759240508079529,0.13339267671108246,29,1889,,,,,,
,,,,30,1889,0.13107170164585114,0.9117162227630615,0.8753718733787537,0.8931744694709778,9.999994654208422e-05,0.13138467073440552
0.8459668159484863,0.8774405121803284,0.8614162802696228,0.14595042169094086,30,1952,,,,,,
,,,,31,1952,0.1277047097682953,0.9051185846328735,0.8799678683280945,0.8923660516738892,9.999994654208422e-05,0.12717127799987793
0.9068538546562195,0.8346642255783081,0.8692628145217896,0.14395244419574738,31,2015,,,,,,
,,,,32,2015,0.12557147443294525,0.9071372747421265,0.8823614120483398,0.8945778608322144,9.999994654208422e-05,0.1259026974439621
0.8914823532104492,0.8775634169578552,0.884468138217926,0.11976535618305206,32,2078,,,,,,
,,,,33,2078,0.12572430074214935,0.911026120185852,0.8732429146766663,0.8917344808578491,9.999994654208422e-05,0.12574300169944763
0.9006081819534302,0.844392716884613,0.8715949654579163,0.13425253331661224,33,2141,,,,,,
,,,,34,2141,0.12911294400691986,0.9052278995513916,0.8742842674255371,0.8894870281219482,9.999994654208422e-05,0.1290164291858673
0.8687147498130798,0.9100748896598816,0.8889139294624329,0.1218075156211853,34,2204,,,,,,
,,,,35,2204,0.12536461651325226,0.9108313322067261,0.8760759234428406,0.8931156396865845,9.999994654208422e-05,0.12526345252990723
0.9098542928695679,0.8902230858802795,0.8999316692352295,0.10988986492156982,35,2267,,,,,,
,,,,36,2267,0.11999557912349701,0.8998172283172607,0.8970205783843994,0.8984167575836182,9.999994654208422e-05,0.1202048510313034
0.9363783001899719,0.8247271776199341,0.8770135045051575,0.13608390092849731,36,2330,,,,,,
,,,,37,2330,0.12835270166397095,0.8942399621009827,0.8796582221984863,0.8868891596794128,9.999994654208422e-05,0.12875603139400482
0.9015916585922241,0.860348641872406,0.8804874420166016,0.11662383377552032,37,2393,,,,,,
,,,,38,2393,0.12296818196773529,0.9082460403442383,0.8775196671485901,0.8926185369491577,9.999994654208422e-05,0.12281426042318344
0.8641369342803955,0.8078066110610962,0.8350228667259216,0.15764328837394714,38,2456,,,,,,
,,,,39,2456,0.14229454100131989,0.8724766373634338,0.8630520701408386,0.8677387237548828,9.999994654208422e-05,0.14281800389289856
0.8975956439971924,0.9094938635826111,0.9035055637359619,0.10205031931400299,39,2519,,,,,,
,,,,40,2519,0.11966900527477264,0.9115632772445679,0.878410279750824,0.8946797251701355,9.999994654208422e-05,0.11967025697231293
0.9143381118774414,0.8948042988777161,0.9044657349586487,0.10273803770542145,40,2582,,,,,,
,,,,41,2582,0.11711814999580383,0.9130635261535645,0.8818323016166687,0.897176206111908,9.999994654208422e-05,0.11712666600942612
0.8941333293914795,0.8582367897033691,0.8758174180984497,0.12419693171977997,41,2645,,,,,,
,,,,42,2645,0.1269659698009491,0.90755695104599,0.8672194480895996,0.8869298100471497,9.999994654208422e-05,0.12754333019256592
0.8947035074234009,0.898942232131958,0.8968178629875183,0.10560090839862823,42,2708,,,,,,
,,,,43,2708,0.12279488146305084,0.9052464365959167,0.8719838261604309,0.8883038759231567,9.999994654208422e-05,0.12297308444976807
0.8910766243934631,0.8205445408821106,0.8543573617935181,0.1276075839996338,43,2771,,,,,,
,,,,44,2771,0.11504396796226501,0.9121946096420288,0.8807443380355835,0.8961936235427856,9.999994654208422e-05,0.11477892100811005
0.8448759913444519,0.8789303302764893,0.8615667819976807,0.11958122253417969,44,2834,,,,,,
,,,,45,2834,0.11366011947393417,0.9177466034889221,0.8791451454162598,0.8980312347412109,9.999999747378752e-06,0.11391665786504745
0.8431758880615234,0.8795076012611389,0.8609586358070374,0.12014144659042358,45,2897,,,,,,
,,,,46,2897,0.10593971610069275,0.9159873723983765,0.8921324014663696,0.903902530670166,9.999999747378752e-06,0.10566000640392303
0.8520210385322571,0.8544899225234985,0.8532537221908569,0.12498372793197632,46,2960,,,,,,
,,,,47,2960,0.11146993190050125,0.9194437265396118,0.8861134648323059,0.9024709463119507,9.999999747378752e-06,0.11162823438644409
0.850203812122345,0.8476293087005615,0.848914623260498,0.12728570401668549,47,3023,,,,,,
,,,,48,3023,0.1096423789858818,0.9165316820144653,0.8884063363075256,0.9022498726844788,9.999999747378752e-06,0.10947955399751663
0.841789186000824,0.861942708492279,0.8517467379570007,0.12561103701591492,48,3086,,,,,,
,,,,49,3086,0.10450364649295807,0.9234977960586548,0.8869219422340393,0.9048404097557068,1.0000001111620804e-06,0.10527762770652771
0.8453704714775085,0.8579649329185486,0.851621150970459,0.12561367452144623,49,3149,,,,,,
,,,,50,3149,0.11070981621742249,0.9166803359985352,0.8894928097724915,0.902881920337677,1.0000001111620804e-06,0.11202655732631683
0.8439990878105164,0.8629669547080994,0.853377640247345,0.12454302608966827,50,3212,,,,,,
,,,,51,3212,0.10953199863433838,0.9196857213973999,0.8857101798057556,0.902378261089325,1.0000001111620804e-06,0.1094602644443512
0.8431587219238281,0.8630749583244324,0.8530006408691406,0.12475813925266266,51,3275,,,,,,
,,,,52,3275,0.10995164513587952,0.9179204702377319,0.8913283944129944,0.904429018497467,1.0000001111620804e-06,0.10980907082557678
0.844162106513977,0.8643189668655396,0.8541216254234314,0.1242695152759552,52,3338,,,,,,
,,,,53,3338,0.11205113679170609,0.9181283116340637,0.885776698589325,0.9016624093055725,9.99999585360456e-08,0.1119990199804306
0.8416998982429504,0.8694252967834473,0.8553379774093628,0.12366536259651184,53,3401,,,,,,
,,,,54,3401,0.1003856286406517,0.9232238531112671,0.8962219953536987,0.9095225930213928,9.99999585360456e-08,0.10041429847478867
0.8443862199783325,0.8590636253356934,0.8516616821289062,0.12543757259845734,54,3464,,,,,,
,,,,55,3464,0.10717181116342545,0.9215014576911926,0.887330174446106,0.9040930271148682,9.99999585360456e-08,0.10795953869819641
0.8448383212089539,0.8592498898506165,0.8519831299781799,0.12536770105361938,55,3527,,,,,,
,,,,56,3527,0.11383306235074997,0.9164893627166748,0.8845651745796204,0.9002443552017212,9.99999585360456e-08,0.11380744725465775
0.8420949578285217,0.8637863397598267,0.8528027534484863,0.12491747736930847,56,3590,,,,,,
,,,,57,3590,0.10976254194974899,0.9224649667739868,0.8865919709205627,0.9041727781295776,1.0000003491938969e-08,0.10936899483203888
0.8444348573684692,0.860776960849762,0.8525276184082031,0.12503692507743835,57,3653,,,,,,
,,,,58,3653,0.10770268738269806,0.9192410707473755,0.8896970748901367,0.9042278528213501,1.0000003491938969e-08,0.10767954587936401
0.844194769859314,0.8629595041275024,0.8534740209579468,0.1244230568408966,58,3716,,,,,,
,,,,59,3716,0.10806762427091599,0.9190922379493713,0.887997567653656,0.9032773971557617,1.0000003491938969e-08,0.10770179331302643
0.8436974883079529,0.8656784296035767,0.8545466065406799,0.1239287257194519,59,3779,,,,,,
,,,,60,3779,0.10923746973276138,0.9201304912567139,0.887880265712738,0.9037177562713623,1.0000003491938969e-08,0.1094639003276825
0.8440591096878052,0.8600543737411499,0.8519816994667053,0.12532353401184082,60,3842,,,,,,
,,,,61,3842,0.11214189231395721,0.9189821481704712,0.883883535861969,0.9010911583900452,1.0000003491938969e-08,0.11215237528085709
0.8419426679611206,0.8628775477409363,0.8522815704345703,0.12525933980941772,61,3905,,,,,,
,,,,62,3905,0.10332054644823074,0.9211279153823853,0.8943054676055908,0.9075185656547546,1.0000003491938969e-08,0.10400210320949554
0.8429635167121887,0.8648813962936401,0.8537818193435669,0.12437696754932404,62,3968,,,,,,
,,,,63,3968,0.10707174986600876,0.9172816276550293,0.8912091255187988,0.9040574431419373,1.0000003491938969e-08,0.10736074298620224
0.8455337882041931,0.8583447933197021,0.8518911600112915,0.12538465857505798,63,4031,,,,,,
,,,,64,4031,0.11140349507331848,0.9169620871543884,0.8873258829116821,0.901900589466095,1.0000003491938969e-08,0.11111565679311752
0.8414905667304993,0.8678833246231079,0.8544831871986389,0.12410955131053925,64,4094,,,,,,
,,,,65,4094,0.10767333954572678,0.9202936291694641,0.8917406797409058,0.9057921767234802,1.0000003491938969e-08,0.10783882439136505
0.8412671685218811,0.8679317831993103,0.8543914556503296,0.12410102784633636,65,4157,,,,,,
,,,,66,4157,0.104471854865551,0.9215168356895447,0.8907206058502197,0.9058570265769958,1.0000003491938969e-08,0.10431869328022003
0.8455685377120972,0.8616931438446045,0.8535546660423279,0.12445925176143646,66,4220,,,,,,
,,,,67,4220,0.10590080171823502,0.9232065081596375,0.8915412425994873,0.9070976376533508,1.0000003491938969e-08,0.10544440150260925
0.8434231281280518,0.8637602925300598,0.8534705638885498,0.1245519369840622,67,4283,,,,,,
,,,,68,4283,0.10988270491361618,0.9166696667671204,0.8869374990463257,0.901558518409729,1.0000003491938969e-08,0.10979241132736206
0.8470708131790161,0.8559015393257141,0.851463258266449,0.12565495073795319,68,4346,,,,,,
,,,,69,4346,0.10930052399635315,0.9240462779998779,0.8870545029640198,0.90517258644104,1.0000003491938969e-08,0.10923313349485397
0.8462861776351929,0.8611605763435364,0.8536585569381714,0.12445572018623352,69,4409,,,,,,
,,,,70,4409,0.10636507719755173,0.9163751602172852,0.8947014808654785,0.9054086208343506,1.0000003491938969e-08,0.10590451210737228
0.8414377570152283,0.8675593137741089,0.8542988896369934,0.12430395185947418,70,4472,,,,,,
,,,,71,4472,0.10747692734003067,0.9192676544189453,0.8891851305961609,0.9039762020111084,1.0000003491938969e-08,0.10750561207532883
0.8427703380584717,0.8669149875640869,0.8546721935272217,0.12399810552597046,71,4535,,,,,,
,,,,72,4535,0.10679750144481659,0.9155157208442688,0.8924486041069031,0.9038349986076355,1.0000003491938969e-08,0.106674924492836
0.8478038907051086,0.8567432761192322,0.8522501587867737,0.1252562701702118,72,4598,,,,,,
,,,,73,4598,0.11031193286180496,0.9201405048370361,0.8862118124961853,0.9028575420379639,1.0000003491938969e-08,0.11003734171390533
0.8417348861694336,0.8696338534355164,0.8554570078849792,0.12361104786396027,73,4661,,,,,,
,,,,74,4661,0.10576535761356354,0.9177917242050171,0.890324056148529,0.9038492441177368,1.0000003491938969e-08,0.10596083104610443
0.8440033793449402,0.8638012409210205,0.8537875413894653,0.12435266375541687,74,4724,,,,,,
,,,,75,4724,0.10577666759490967,0.9235928058624268,0.8888896703720093,0.90590900182724,1.0000003491938969e-08,0.10563614219427109
0.8457725048065186,0.8603858351707458,0.8530166149139404,0.12487564980983734,75,4787,,,,,,
,,,,76,4787,0.1043701246380806,0.9222923517227173,0.8911640644073486,0.9064610600471497,1.0000003491938969e-08,0.10426264256238937
0.84400874376297,0.8633729219436646,0.8535810112953186,0.12444737553596497,76,4850,,,,,,
,,,,77,4850,0.10519686341285706,0.9249096512794495,0.8881434798240662,0.9061537981033325,1.0000003491938969e-08,0.10520437359809875
0.8424476385116577,0.8662222027778625,0.8541695475578308,0.12426166236400604,77,4913,,,,,,
,,,,78,4913,0.11237458884716034,0.9158217310905457,0.8862590193748474,0.9007979035377502,1.0000003491938969e-08,0.11266352981328964
0.8425047993659973,0.865220308303833,0.8537114858627319,0.12453939020633698,78,4976,,,,,,
,,,,79,4976,0.11171834170818329,0.9187660813331604,0.8825163841247559,0.9002764821052551,1.0000003491938969e-08,0.11140571534633636
0.8453636765480042,0.858877420425415,0.8520669937133789,0.12534496188163757,79,5039,,,,,,
,,,,80,5039,0.10604351758956909,0.9240139722824097,0.8879126906394958,0.9056037068367004,1.0000003491938969e-08,0.10623021423816681
0.8429712057113647,0.8619725108146667,0.8523659706115723,0.12510550022125244,80,5102,,,,,,
,,,,81,5102,0.1042288988828659,0.9280483722686768,0.8876411318778992,0.9073951244354248,1.0000003491938969e-08,0.10422111302614212
0.8435443043708801,0.8644530773162842,0.853870689868927,0.12448716163635254,81,5165,,,,,,
,,,,82,5165,0.10955332219600677,0.9205955266952515,0.8881059288978577,0.9040589332580566,1.0000003491938969e-08,0.11097700148820877
0.8425438404083252,0.8653953671455383,0.8538167476654053,0.12447144091129303,82,5228,,,,,,
,,,,83,5228,0.11422213912010193,0.9156317710876465,0.8850924372673035,0.9001031517982483,1.0000003491938969e-08,0.11429689079523087
0.8444603681564331,0.8592051863670349,0.851768970489502,0.12549619376659393,83,5291,,,,,,
,,,,84,5291,0.10817337781190872,0.9165772795677185,0.8877320885658264,0.9019241333007812,1.0000003491938969e-08,0.10789123922586441
0.8424683809280396,0.8667957782745361,0.8544589877128601,0.12401913106441498,84,5354,,,,,,
,,,,85,5354,0.10619380325078964,0.920309841632843,0.8887253403663635,0.9042418599128723,1.0000003491938969e-08,0.10611540824174881
0.8459360599517822,0.8601363301277161,0.8529770970344543,0.12465505301952362,85,5417,,,,,,
,,,,86,5417,0.10413666069507599,0.9226385951042175,0.890346348285675,0.906204879283905,1.0000003491938969e-08,0.10416455566883087
0.8424323797225952,0.8653059601783752,0.8537160158157349,0.12437823414802551,86,5480,,,,,,
,,,,87,5480,0.1028488427400589,0.9233769774436951,0.8935645222663879,0.9082261919975281,1.0000003491938969e-08,0.10253749042749405
0.8453707098960876,0.8588215708732605,0.8520430326461792,0.12532590329647064,87,5543,,,,,,
,,,,88,5543,0.11268287897109985,0.9091693162918091,0.8892151117324829,0.8990815281867981,1.0000003491938969e-08,0.11252857744693756
0.8409801125526428,0.8673693537712097,0.8539708852767944,0.12442703545093536,88,5606,,,,,,
,,,,89,5606,0.11080145090818405,0.9189423322677612,0.881382167339325,0.8997704386711121,1.0000003491938969e-08,0.1109645664691925
0.841352641582489,0.8678163290023804,0.8543795943260193,0.12425191700458527,89,5669,,,,,,
,,,,90,5669,0.10902190953493118,0.9192317724227905,0.8854987025260925,0.9020499587059021,1.0000003491938969e-08,0.10920055955648422
0.843171238899231,0.862896203994751,0.8529196977615356,0.12494152784347534,90,5732,,,,,,
,,,,91,5732,0.10653702914714813,0.9188844561576843,0.8880326151847839,0.9031951427459717,1.0000003491938969e-08,0.10659822076559067
0.8416442275047302,0.8638757467269897,0.8526151180267334,0.12510725855827332,91,5795,,,,,,
,,,,92,5795,0.10660400241613388,0.9180586934089661,0.8901943564414978,0.903911828994751,1.0000003491938969e-08,0.10678950697183609
0.8447795510292053,0.8581958413124084,0.8514348268508911,0.1257358193397522,92,5858,,,,,,
,,,,93,5858,0.10866185277700424,0.9167519807815552,0.8908491730690002,0.9036149978637695,1.0000003491938969e-08,0.10887264460325241
0.8439165353775024,0.8580766320228577,0.8509377241134644,0.12591227889060974,93,5921,,,,,,
,,,,94,5921,0.1050623208284378,0.9179269075393677,0.8933009505271912,0.9054465293884277,1.0000003491938969e-08,0.10497133433818817
0.843056321144104,0.859305739402771,0.8511034846305847,0.12574085593223572,94,5984,,,,,,
,,,,95,5984,0.10105456411838531,0.9219897985458374,0.8953887224197388,0.9084945917129517,1.0000003491938969e-08,0.10140302777290344
0.8431832194328308,0.8591493368148804,0.8510913848876953,0.1258283406496048,95,6047,,,,,,
,,,,96,6047,0.10843688249588013,0.9165177941322327,0.8893508315086365,0.9027299880981445,1.0000003491938969e-08,0.10820791870355606
0.8429604768753052,0.8615627884864807,0.8521601557731628,0.12517327070236206,96,6110,,,,,,
,,,,97,6110,0.1080469861626625,0.9189533591270447,0.890474259853363,0.9044896960258484,1.0000003491938969e-08,0.10803592950105667
0.8469729423522949,0.8576259613037109,0.8522661924362183,0.1252080798149109,97,6173,,,,,,
,,,,98,6173,0.11693983525037766,0.9141011238098145,0.8770815134048462,0.8952087759971619,1.0000003491938969e-08,0.1174088791012764
0.84755939245224,0.8543148636817932,0.8509237170219421,0.12592044472694397,98,6236,,,,,,
,,,,99,6236,0.10839958488941193,0.9201799035072327,0.8838900923728943,0.901669979095459,1.0000003491938969e-08,0.10791224241256714
0.846808910369873,0.8573652505874634,0.8520544171333313,0.12526476383209229,99,6299,,,,,,
,,,,100,6299,0.1051938608288765,0.9197693467140198,0.8956220149993896,0.9075350761413574,1.0000003491938969e-08,0.10535157471895218
